battingTeam_x,key_0,balls_x,runs_x,player_out_x,balls_y,runs_y,player_out_y,Winning Batting_Team
Sri Lanka,423,104.3,47,3,103.3,41,3,1
Pakistan,42,114.8,46,1,107.3,28,2,1
India,125,108.0,57,1,102.6,25,1,1
India,463,108.7,40,2,113.0,53,3,0
Netherlands,614,102.6,25,2,105.0,38,2,0
Australia,536,103.3,69,1,102.6,45,3,1
England,645,113.0,44,1,102.6,50,1,0
South Africa,370,102.6,39,1,102.6,47,4,0
England,29,115.5,51,0,102.6,52,2,0
West Indies,658,106.3,51,0,108.3,50,2,1
Australia,55,108.3,43,2,102.6,51,1,0
Sri Lanka,15,114.8,70,1,111.0,74,1,0
Sri Lanka,122,105.3,41,2,108.3,40,0,1
Ireland,549,102.6,33,1,106.3,50,2,0
West Indies,707,102.6,47,0,102.6,29,2,1
England,191,102.6,38,1,110.8,34,4,1
England,448,102.6,61,0,113.0,42,2,1
South Africa,391,111.8,69,2,112.7,86,1,0
Sri Lanka,256,105.8,51,2,108.3,40,1,1
Pakistan,103,105.3,46,2,104.3,46,2,1
Australia,566,102.6,39,3,113.0,44,1,0
South Africa,197,103.3,30,1,105.0,42,2,0
Australia,476,106.3,52,0,105.3,46,3,1
Sri Lanka,241,110.1,52,1,102.6,31,2,1
Pakistan,345,102.6,34,3,111.0,36,1,0
New Zealand,420,102.6,40,1,106.3,30,3,1
New Zealand,47,102.6,45,1,109.8,53,1,0
Australia,411,107.3,49,1,86.1,49,1,1
South Africa,433,102.6,83,0,113.7,89,3,0
England,328,105.3,45,1,112.4,54,1,0
Pakistan,752,102.6,38,2,30.1,41,0,0
England,292,105.0,27,2,102.6,45,2,0
Sri Lanka,98,113.8,41,2,103.3,36,1,1
India,143,108.3,51,1,108.8,46,1,1
Sri Lanka,193,111.0,56,0,110.1,45,1,1
Pakistan,403,102.6,39,1,103.3,13,3,1
New Zealand,612,104.3,56,0,108.3,49,1,1
New Zealand,114,108.3,33,2,109.0,25,2,1
West Indies,313,105.3,51,1,113.5,52,0,0
New Zealand,261,102.6,57,1,102.6,42,4,1
Sri Lanka,472,103.3,46,2,105.3,75,0,0
England,218,102.6,53,1,109.7,54,1,0
Bangladesh,286,109.7,71,1,105.0,67,1,1
Pakistan,389,116.7,55,1,102.6,31,2,1
Ireland,415,102.6,40,2,12.3,16,1,1
West Indies,642,102.6,57,2,115.4,43,2,1
Zimbabwe,523,106.3,13,4,108.0,21,1,0
Pakistan,635,104.3,47,2,102.6,40,1,1
Sri Lanka,142,104.1,47,3,103.3,46,0,1
New Zealand,102,110.0,39,1,102.6,57,1,0
West Indies,693,120.5,43,1,117.4,51,2,0
India,619,114.8,66,2,107.3,66,0,1
New Zealand,303,114.1,41,0,108.3,54,0,0
England,49,102.6,40,3,117.0,66,2,0
India,70,103.3,47,2,105.3,60,1,0
Australia,545,106.1,49,0,113.7,67,1,0
Zimbabwe,486,108.0,51,3,109.0,41,2,1
India,628,109.0,44,1,102.6,27,3,1
Pakistan,395,103.3,38,2,109.0,48,1,0
India,578,103.3,49,0,106.3,48,3,1
Bangladesh,33,109.0,40,3,102.6,56,2,0
South Africa,220,108.0,39,3,116.4,37,2,1
Australia,400,110.8,58,4,107.3,52,2,1
New Zealand,7,109.0,49,1,110.0,63,2,0
West Indies,686,103.3,29,2,107.7,42,1,0
Pakistan,457,104.3,24,4,113.0,28,2,0
South Africa,708,103.3,36,2,117.4,54,1,0
India,396,108.3,33,3,114.2,39,1,0
Netherlands,739,110.0,52,2,113.0,34,2,1
England,138,107.3,46,1,103.3,38,2,1
Pakistan,377,108.3,29,4,105.3,40,2,0
West Indies,733,112.0,50,1,108.0,50,3,1
New Zealand,94,104.3,38,2,102.6,64,2,0
England,445,103.3,60,1,103.3,59,2,1
Sri Lanka,700,109.7,53,1,107.3,63,0,0
Bangladesh,317,110.0,35,2,102.6,48,1,0
New Zealand,666,110.1,48,1,108.0,76,1,0
Zimbabwe,120,107.3,54,0,102.6,71,0,0
Australia,516,117.2,72,1,118.5,75,1,0
Bangladesh,365,118.7,46,1,102.6,31,2,1
Australia,34,102.6,47,2,103.3,43,2,1
New Zealand,499,105.3,43,0,107.3,68,0,0
Bangladesh,302,104.3,33,1,105.3,28,3,1
England,104,104.3,62,1,107.3,54,2,1
Netherlands,653,105.3,59,5,110.0,47,7,1
New Zealand,150,102.6,56,0,102.6,40,1,1
Pakistan,676,103.3,47,0,112.0,36,2,1
Sri Lanka,444,107.0,28,2,113.0,37,0,0
New Zealand,501,115.8,16,3,10.2,6,0,1
Sri Lanka,402,102.6,42,0,110.7,39,2,1
Australia,716,102.6,38,1,104.3,53,1,0
England,627,102.6,59,2,113.5,43,2,1
Australia,484,106.1,27,2,106.0,57,2,0
India,207,109.0,40,3,104.3,32,1,1
Australia,569,107.3,48,1,115.6,29,2,1
Pakistan,351,104.1,54,0,102.6,53,2,1
Zimbabwe,192,102.6,21,3,105.8,56,0,0
Australia,62,103.3,47,1,108.3,59,2,0
West Indies,648,105.3,54,0,129.1,59,1,0
India,691,108.3,50,4,102.6,39,4,1
England,654,105.3,46,2,111.7,33,4,1
India,530,105.0,35,2,106.0,38,2,0
Afghanistan,568,104.3,52,2,108.3,29,1,1
South Africa,401,105.0,55,1,103.3,51,0,1
Australia,224,109.0,42,2,105.0,42,0,1
New Zealand,473,107.0,34,1,104.3,37,3,0
India,155,102.6,31,3,102.6,42,2,0
India,234,106.3,29,4,106.0,23,1,1
South Africa,304,106.3,60,0,104.1,40,1,1
New Zealand,599,103.3,17,5,102.6,29,1,0
New Zealand,132,103.3,54,1,105.3,67,1,0
New Zealand,412,102.6,29,2,107.3,47,3,0
West Indies,298,106.0,46,1,104.3,42,3,1
South Africa,385,102.6,66,1,112.8,64,2,1
Ireland,146,104.3,82,1,102.6,74,2,1
Sri Lanka,72,124.0,53,0,103.3,39,2,1
West Indies,331,108.3,32,2,106.3,44,1,0
India,503,113.0,60,0,106.1,62,1,0
Zimbabwe,281,120.0,50,0,104.3,47,1,1
Sri Lanka,30,110.0,37,3,103.3,37,1,1
Ireland,327,107.3,63,1,106.3,58,3,1
India,274,122.3,58,0,106.1,38,0,1
West Indies,154,113.8,81,1,105.0,66,2,1
India,735,102.6,37,0,109.0,22,3,1
South Africa,305,104.3,35,0,104.3,44,2,0
West Indies,747,103.3,43,1,107.3,33,3,1
Bangladesh,548,102.6,65,4,102.6,42,0,1
Bangladesh,482,102.6,36,0,104.3,28,2,1
South Africa,404,103.3,48,1,106.0,39,1,1
West Indies,655,108.0,65,0,102.6,53,1,1
West Indies,209,102.6,22,3,106.3,34,2,0
New Zealand,347,102.6,58,0,102.6,50,1,1
Sri Lanka,111,107.7,48,1,102.6,54,0,0
West Indies,624,102.6,29,1,102.6,62,1,0
Zimbabwe,630,106.3,44,3,112.7,35,2,1
Australia,369,104.3,35,2,117.6,27,4,1
West Indies,159,102.6,43,2,102.6,58,1,0
